科目区分1,科目区分2,科目名称,配当年次,DP1-1,DP1-2,DP1-3,DP1-4,-,-,DP2-1,DP2-2,DP2-3,DP2-4,DP2-5,DP3-1,DP3-2,DP3-3,DP3-4,DP3-5,DP3-6,DP4-1,DP4-2,DP4-3
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,日本史概説Ⅰ,1,○,,◎,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,日本史概説Ⅱ,1,○,,◎,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,日本史特論Ⅰ,1,○,,◎,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,日本史特論Ⅱ,1,○,,◎,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,世界史概説Ⅰ,1,○,,◎,,,,○,◎,,,,◎,〇,,,,〇,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,世界史概説Ⅱ,1,○,,◎,,,,○,◎,,,,◎,〇,,,,〇,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,世界史特論Ⅰ,1,○,,◎,,,,○,◎,,,,◎,〇,,,,〇,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,世界史特論Ⅱ,1,○,,◎,,,,○,◎,,,,◎,〇,,,,〇,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,西洋音楽史Ⅰ,1,,,◎,,,,○,◎,,,,◎,〇,,,,〇,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,西洋音楽史Ⅱ,1,,,◎,,,,○,◎,,,,◎,〇,,,,〇,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,美術史A（日本）,1,,,◎,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,美術史B（東洋）,1,,,◎,,,,○,◎,,,,◎,〇,,,,〇,,,◎
